date_of_interest,DEATH_COUNT
02/29/2020,0
03/01/2020,0
03/02/2020,0
03/03/2020,0
03/04/2020,0
03/05/2020,0
03/06/2020,0
03/07/2020,0
03/08/2020,0
03/09/2020,0
03/10/2020,0
03/11/2020,1
03/12/2020,0
03/13/2020,0
03/14/2020,3
03/15/2020,4
03/16/2020,9
03/17/2020,12
03/18/2020,24
03/19/2020,27
03/20/2020,49
03/21/2020,51
03/22/2020,52
03/23/2020,96
03/24/2020,107
03/25/2020,143
03/26/2020,229
03/27/2020,262
03/28/2020,323
03/29/2020,356
03/30/2020,414
03/31/2020,476
04/01/2020,556
04/02/2020,676
04/03/2020,676
04/04/2020,715
04/05/2020,758
04/06/2020,816
04/07/2020,831
04/08/2020,782
04/09/2020,767
04/10/2020,743
04/11/2020,730
04/12/2020,754
04/13/2020,768
04/14/2020,659
04/15/2020,578
04/16/2020,555
04/17/2020,489
04/18/2020,514
04/19/2020,494
04/20/2020,465
04/21/2020,426
04/22/2020,399
04/23/2020,415
04/24/2020,380
04/25/2020,325
04/26/2020,300
04/27/2020,322
04/28/2020,267
04/29/2020,274
04/30/2020,253
05/01/2020,256
05/02/2020,224
05/03/2020,210
05/04/2020,195
05/05/2020,169
05/06/2020,182
05/07/2020,159
05/08/2020,155
05/09/2020,110
05/10/2020,114
05/11/2020,120
05/12/2020,108
05/13/2020,92
05/14/2020,86
05/15/2020,98
05/16/2020,100
05/17/2020,89
05/18/2020,67
05/19/2020,64
05/20/2020,84
05/21/2020,51
05/22/2020,79
05/23/2020,64
05/24/2020,54
05/25/2020,53
05/26/2020,42
05/27/2020,51
05/28/2020,41
05/29/2020,51
05/30/2020,56
05/31/2020,42
06/01/2020,39
06/02/2020,45
06/03/2020,45
06/04/2020,38
06/05/2020,31
06/06/2020,36
06/07/2020,29
06/08/2020,44
06/09/2020,33
06/10/2020,39
06/11/2020,26
06/12/2020,26
06/13/2020,17
06/14/2020,22
06/15/2020,20
06/16/2020,19
06/17/2020,21
06/18/2020,16
06/19/2020,16
06/20/2020,17
06/21/2020,22
06/22/2020,18
06/23/2020,19
06/24/2020,18
06/25/2020,16
06/26/2020,18
06/27/2020,17
06/28/2020,12
06/29/2020,19
06/30/2020,11
07/01/2020,10
07/02/2020,18
07/03/2020,12
07/04/2020,6
07/05/2020,9
07/06/2020,11
07/07/2020,7
07/08/2020,16
07/09/2020,5
07/10/2020,5
07/11/2020,9
07/12/2020,7
07/13/2020,15
07/14/2020,10
07/15/2020,14
07/16/2020,6
07/17/2020,10
07/18/2020,11
07/19/2020,10
07/20/2020,10
07/21/2020,6
07/22/2020,8
07/23/2020,8
07/24/2020,5
07/25/2020,11
07/26/2020,8
07/27/2020,3
07/28/2020,13
07/29/2020,5
07/30/2020,5
07/31/2020,4
08/01/2020,7
08/02/2020,2
08/03/2020,3
08/04/2020,5
08/05/2020,6
08/06/2020,6
08/07/2020,2
08/08/2020,4
08/09/2020,3
08/10/2020,5
08/11/2020,5
08/12/2020,3
08/13/2020,4
08/14/2020,4
08/15/2020,5
08/16/2020,5
08/17/2020,5
08/18/2020,2
08/19/2020,1
08/20/2020,6
08/21/2020,5
08/22/2020,7
08/23/2020,3
08/24/2020,8
08/25/2020,3
08/26/2020,7
08/27/2020,1
08/28/2020,6
08/29/2020,4
08/30/2020,6
08/31/2020,1
09/01/2020,3
09/02/2020,5
09/03/2020,3
09/04/2020,6
09/05/2020,3
09/06/2020,6
09/07/2020,0
09/08/2020,2
09/09/2020,2
09/10/2020,4
09/11/2020,6
09/12/2020,4
09/13/2020,3
09/14/2020,5
09/15/2020,5
09/16/2020,6
09/17/2020,3
09/18/2020,3
09/19/2020,5
09/20/2020,5
09/21/2020,3
09/22/2020,4
09/23/2020,5
09/24/2020,3
09/25/2020,5
09/26/2020,5
09/27/2020,4
09/28/2020,5
09/29/2020,6
09/30/2020,8
10/01/2020,7
10/02/2020,3
10/03/2020,6
10/04/2020,7
10/05/2020,0
10/06/2020,4
10/07/2020,4
10/08/2020,6
10/09/2020,2
10/10/2020,4
10/11/2020,7
10/12/2020,8
10/13/2020,5
10/14/2020,8
10/15/2020,9
10/16/2020,7
10/17/2020,5
10/18/2020,4
10/19/2020,8
10/20/2020,5
10/21/2020,6
10/22/2020,3
10/23/2020,5
10/24/2020,2
10/25/2020,10
10/26/2020,6
10/27/2020,9
10/28/2020,5
10/29/2020,4
10/30/2020,10
10/31/2020,4
11/01/2020,12
11/02/2020,9
11/03/2020,16
11/04/2020,9
11/05/2020,10
11/06/2020,11
11/07/2020,13
11/08/2020,9
11/09/2020,6
11/10/2020,7
11/11/2020,9
11/12/2020,16
11/13/2020,6
11/14/2020,11
11/15/2020,14
11/16/2020,8
11/17/2020,10
11/18/2020,12
11/19/2020,10
11/20/2020,9
11/21/2020,11
11/22/2020,12
11/23/2020,14
11/24/2020,18
11/25/2020,12
11/26/2020,10
11/27/2020,16
11/28/2020,14
11/29/2020,15
11/30/2020,20
12/01/2020,24
12/02/2020,26
12/03/2020,20
12/04/2020,28
12/05/2020,26
12/06/2020,22
12/07/2020,21
12/08/2020,23
12/09/2020,29
12/10/2020,28
12/11/2020,31
12/12/2020,34
12/13/2020,32
12/14/2020,30
12/15/2020,34
12/16/2020,42
12/17/2020,39
12/18/2020,41
12/19/2020,33
12/20/2020,34
12/21/2020,46
12/22/2020,55
12/23/2020,42
12/24/2020,43
12/25/2020,40
12/26/2020,39
12/27/2020,48
12/28/2020,45
12/29/2020,53
12/30/2020,45
12/31/2020,42
01/01/2021,41
01/02/2021,62
01/03/2021,43
01/04/2021,65
01/05/2021,73
01/06/2021,66
01/07/2021,56
01/08/2021,64
01/09/2021,73
01/10/2021,56
01/11/2021,61
01/12/2021,78
01/13/2021,72
01/14/2021,70
01/15/2021,69
01/16/2021,71
01/17/2021,59
01/18/2021,79
01/19/2021,88
01/20/2021,80
01/21/2021,69
01/22/2021,87
01/23/2021,85
01/24/2021,74
01/25/2021,71
01/26/2021,86
01/27/2021,95
01/28/2021,90
01/29/2021,90
01/30/2021,84
01/31/2021,76
02/01/2021,66
02/02/2021,82
02/03/2021,80
02/04/2021,97
02/05/2021,85
02/06/2021,81
02/07/2021,80
02/08/2021,86
02/09/2021,71
02/10/2021,81
02/11/2021,99
02/12/2021,83
02/13/2021,87
02/14/2021,83
02/15/2021,85
02/16/2021,86
02/17/2021,85
02/18/2021,58
02/19/2021,58
02/20/2021,75
02/21/2021,62
02/22/2021,73
02/23/2021,80
02/24/2021,82
02/25/2021,80
02/26/2021,77
02/27/2021,67
02/28/2021,72
03/01/2021,65
03/02/2021,55
03/03/2021,74
03/04/2021,65
03/05/2021,53
03/06/2021,56
03/07/2021,61
03/08/2021,70
03/09/2021,72
03/10/2021,65
03/11/2021,58
03/12/2021,74
03/13/2021,65
03/14/2021,43
03/15/2021,47
03/16/2021,66
03/17/2021,47
03/18/2021,61
03/19/2021,48
03/20/2021,51
03/21/2021,50
03/22/2021,56
03/23/2021,54
03/24/2021,43
03/25/2021,72
03/26/2021,66
03/27/2021,59
03/28/2021,57
03/29/2021,52
03/30/2021,46
03/31/2021,65
04/01/2021,59
04/02/2021,53
04/03/2021,50
04/04/2021,48
04/05/2021,56
04/06/2021,48
04/07/2021,45
04/08/2021,55
04/09/2021,57
04/10/2021,51
04/11/2021,57
04/12/2021,43
04/13/2021,38
04/14/2021,36
04/15/2021,43
04/16/2021,35
04/17/2021,35
04/18/2021,37
04/19/2021,43
04/20/2021,35
04/21/2021,36
04/22/2021,42
04/23/2021,47
04/24/2021,30
04/25/2021,26
04/26/2021,30
04/27/2021,33
04/28/2021,33
04/29/2021,33
04/30/2021,39
05/01/2021,33
05/02/2021,29
05/03/2021,24
05/04/2021,25
05/05/2021,27
05/06/2021,29
05/07/2021,35
05/08/2021,24
05/09/2021,28
05/10/2021,26
05/11/2021,22
05/12/2021,19
05/13/2021,24
05/14/2021,28
05/15/2021,12
05/16/2021,17
05/17/2021,16
05/18/2021,14
05/19/2021,13
05/20/2021,15
05/21/2021,13
05/22/2021,17
05/23/2021,10
05/24/2021,10
05/25/2021,7
05/26/2021,4
05/27/2021,9
05/28/2021,12
05/29/2021,9
05/30/2021,8
05/31/2021,12
06/01/2021,12
06/02/2021,11
06/03/2021,10
06/04/2021,8
06/05/2021,6
06/06/2021,5
06/07/2021,6
06/08/2021,10
06/09/2021,9
06/10/2021,6
06/11/2021,9
06/12/2021,4
06/13/2021,6
06/14/2021,8
06/15/2021,6
06/16/2021,7
06/17/2021,10
06/18/2021,8
06/19/2021,11
06/20/2021,5
06/21/2021,3
06/22/2021,8
06/23/2021,5
06/24/2021,5
06/25/2021,5
06/26/2021,3
06/27/2021,1
06/28/2021,6
06/29/2021,4
06/30/2021,4
07/01/2021,4
07/02/2021,7
07/03/2021,6
07/04/2021,3
07/05/2021,2
07/06/2021,3
07/07/2021,2
07/08/2021,2
07/09/2021,2
07/10/2021,2
07/11/2021,4
07/12/2021,5
07/13/2021,3
07/14/2021,2
07/15/2021,5
07/16/2021,5
07/17/2021,7
07/18/2021,3
07/19/2021,4
07/20/2021,4
07/21/2021,2
07/22/2021,3
07/23/2021,4
07/24/2021,2
07/25/2021,4
07/26/2021,2
07/27/2021,5
07/28/2021,6
07/29/2021,7
07/30/2021,9
07/31/2021,5
08/01/2021,12
08/02/2021,4
08/03/2021,2
08/04/2021,8
08/05/2021,7
